Growth rate [1/h],ppGpp level (relative to that at growth rate=1/h),Source
0.119,2.878,"Wu et al., 2021"
0.327,2.149,"Wu et al., 2021"
0.338,1.73,"Wu et al., 2021"
0.367,1.635,"Wu et al., 2021"
0.356,1.892,"Wu et al., 2021"
0.431,1.878,"Wu et al., 2021"
0.653,1.311,"Wu et al., 2021"
0.683,1.122,"Wu et al., 2021"
0.96,1.027,"Wu et al., 2021"
0.318,1.62,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
0.458,1.604,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
0.598,1.223,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
0.726,1.131,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
0.901,1,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
0.739,0.743,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
1.294,0.315,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
1.34,0.357,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
1.479,0.392,"Hernandez & Bremer, 1990 - processed by Chure and Cremer, 2022"
0.774,0.34,"Büke et al., 2022  - processed by Chure and Cremer, 2022"
0.915,0.771297728,"Büke et al., 2022  - processed by Chure and Cremer, 2022"
0.982,1,"Büke et al., 2022  - processed by Chure and Cremer, 2022"
0.491,4.851764638,"Büke et al., 2022  - processed by Chure and Cremer, 2022"
0.149,7.741928028,"Büke et al., 2022  - processed by Chure and Cremer, 2022"
0.767,1,"Sarubbi et al., 1988  - processed by Chure and Cremer, 2022"
0.749,1.231,"Sarubbi et al., 1988  - processed by Chure and Cremer, 2022"
0.641,3.129,"Sarubbi et al., 1988  - processed by Chure and Cremer, 2022"
0.489,5.875,"Sarubbi et al., 1988  - processed by Chure and Cremer, 2022"
0.355,7.541,"Sarubbi et al., 1988  - processed by Chure and Cremer, 2022"
0.201,10.08,"Sarubbi et al., 1988  - processed by Chure and Cremer, 2022"
0.295,1.783,"Lazzarini et al., 1971  - processed by Chure and Cremer, 2022"
0.682,1.145,"Lazzarini et al., 1971  - processed by Chure and Cremer, 2022"
1.091,1,"Lazzarini et al., 1971  - processed by Chure and Cremer, 2022"
1.5,0.783,"Lazzarini et al., 1971  - processed by Chure and Cremer, 2022"
0.648,2.062,"Sokawa et al., 1975  - processed by Chure and Cremer, 2022"
1.221,1,"Sokawa et al., 1975  - processed by Chure and Cremer, 2022"
1.69,0.481,"Sokawa et al., 1975  - processed by Chure and Cremer, 2022"
0.455,2.1,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
0.477,1.825,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
0.477,1.399,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.136,1.082,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.091,1,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.205,0.903,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.25,0.807,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.295,0.78,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.341,0.752,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.795,0.367,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.886,0.339,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
1.841,0.284,"Ryals et al., 1981  - processed by Chure and Cremer, 2022"
0.591,1.462,"Baracchini et al., 1988  - processed by Chure and Cremer, 2022"
1,1,"Baracchini et al., 1988  - processed by Chure and Cremer, 2022"
1.045,0.862,"Baracchini et al., 1988  - processed by Chure and Cremer, 2022"
1.045,0.677,"Baracchini et al., 1988  - processed by Chure and Cremer, 2022"
1.5,0.308,"Baracchini et al., 1988  - processed by Chure and Cremer, 2022"
0.5,1.811,"Buckstein et al., 2008  - processed by Chure and Cremer, 2022"
0.983,1,"Buckstein et al., 2008  - processed by Chure and Cremer, 2022"
1.994,0.47,"Buckstein et al., 2008  - processed by Chure and Cremer, 2022"
0.348,1.726,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.46,1.536631206,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.659,1.489,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
1.04,1,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
1.521,0.730496454,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.696,1.252494311,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.875,0.601,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.98,1,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
1.399,0.705,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
2.43,0.428,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
2.542,0.502,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.43,0.831,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.635,0.83,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.869,0.529,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
0.892,0.787,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
1.085,1,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
1.572,0.45,"Imholz et al., 2020  - processed by Chure and Cremer, 2022"
