0.03,0.006,0.0027348,0
0.01,0.014,0.0063812,2
0.01,0.015,0.006837,4
0.03,0.028,0.0127624,8
0.01,0.092,0.0419336,12
0.02,0.014,0.0063812,0
0.02,0.009,0.0041022,2
0.04,0.009,0.0041022,4
0.02,0.072,0.0328176,8
0.03,0.051,0.0232458,12
0.03,0.029,0.0132182,0
0.03,0.037,0.0168646,2
0.01,0.045,0.020511,4
0.04,0.042,0.0191436,8
0.01,0.079,0.0360082,12
0.05,0.009,0.0041022,0
0.05,0.012,0.0054696,2
0.04,0.015,0.006837,4
0.06,0.028,0.0127624,8
0.05,0.013,0.0059254,12
0.07,0.058,0.0264364,0
0.13,0.063,0.0287154,2
0.01,0.081,0.0369198,4
0.04,0.065,0.029627,8
0.03,0.1,0.04558,12
0.15,0.033,0.0150414,0
0.1,0.037,0.0168646,2
0.08,0.05,0.02279,4
0.12,0.114,0.0519612,8
0.02,0.029,0.0132182,12
